,code,desc,rule
32,H26.061,"Combined forms of infantile and juvenile cataract, right eye",pediatric
33,H26.062,"Combined forms of infantile and juvenile cataract, left eye",pediatric
34,H26.063,"Combined forms of infantile and juvenile cataract, bilateral",pediatric
35,H26.069,"Combined forms of infantile and juvenile cataract, unspecified eye",pediatric
36,H26.09,Other infantile and juvenile cataract,pediatric
37,L12.2,Chronic bullous disease of childhood,pediatric
38,L20.83,Infantile (acute) (chronic) eczema,pediatric
39,L21.1,Seborrheic infantile dermatitis,pediatric
40,L44.4,Infantile papular acrodermatitis [Gianotti-Crosti],pediatric
41,L70.4,Infantile acne,pediatric
42,N92.2,Excessive menstruation at puberty,pediatric
43,R04.81,Acute idiopathic pulmonary hemorrhage in infants,pediatric
44,R10.83,Colic,pediatric
45,R62.0,Delayed milestone in childhood,pediatric
46,R62.51,Failure to thrive (child),pediatric
47,R68.11,Excessive crying of infant (baby),pediatric
48,R68.12,Fussy infant (baby),pediatric
49,R68.13,Apparent life threatening event in infant (ALTE),pediatric
50,R68.19,Other nonspecific symptoms peculiar to infancy,pediatric
51,T74.02XA,"Child neglect or abandonment, confirmed, initial encounter",pediatric
52,T74.02XD,"Child neglect or abandonment, confirmed, subsequent encounter",pediatric
53,T74.02XS,"Child neglect or abandonment, confirmed, sequela",pediatric
54,T74.12XA,"Child physical abuse, confirmed, initial encounter",pediatric
55,T74.12XD,"Child physical abuse, confirmed, subsequent encounter",pediatric
56,T74.12XS,"Child physical abuse, confirmed, sequela",pediatric
57,T74.22XA,"Child sexual abuse, confirmed, initial encounter",pediatric
58,T74.22XD,"Child sexual abuse, confirmed, subsequent encounter",pediatric
59,T74.22XS,"Child sexual abuse, confirmed, sequela",pediatric
60,T74.32XA,"Child psychological abuse, confirmed, initial encounter",pediatric
61,T74.32XD,"Child psychological abuse, confirmed, subsequent encounter",pediatric
62,T74.32XS,"Child psychological abuse, confirmed, sequela",pediatric
63,T74.4XXA,"Shaken infant syndrome, initial encounter",pediatric
64,T74.4XXD,"Shaken infant syndrome, subsequent encounter",pediatric
65,T74.4XXS,"Shaken infant syndrome, sequela",pediatric
66,T74.52XA,"Child sexual exploitation, confirmed, initial encounter",pediatric
67,T74.52XD,"Child sexual exploitation, confirmed, subsequent encounter",pediatric
68,T74.52XS,"Child sexual exploitation, confirmed, sequela",pediatric
69,T74.62XA,"Child forced labor exploitation, confirmed, initial encounter",pediatric
70,T74.62XD,"Child forced labor exploitation, confirmed, subsequent encounter",pediatric
71,T74.62XS,"Child forced labor exploitation, confirmed, sequela",pediatric
72,T74.92XA,"Unspecified child maltreatment, confirmed, initial encounter",pediatric
73,T74.92XD,"Unspecified child maltreatment, confirmed, subsequent encounter",pediatric
74,T74.92XS,"Unspecified child maltreatment, confirmed, sequela",pediatric
75,T76.02XA,"Child neglect or abandonment, suspected, initial encounter",pediatric
76,T76.02XD,"Child neglect or abandonment, suspected, subsequent encounter",pediatric
77,T76.02XS,"Child neglect or abandonment, suspected, sequela",pediatric
78,T76.12XA,"Child physical abuse, suspected, initial encounter",pediatric
79,T76.12XD,"Child physical abuse, suspected, subsequent encounter",pediatric
80,T76.12XS,"Child physical abuse, suspected, sequela",pediatric
81,T76.22XA,"Child sexual abuse, suspected, initial encounter",pediatric
82,T76.22XD,"Child sexual abuse, suspected, subsequent encounter",pediatric
83,T76.22XS,"Child sexual abuse, suspected, sequela",pediatric
84,T76.32XA,"Child psychological abuse, suspected, initial encounter",pediatric
85,T76.32XD,"Child psychological abuse, suspected, subsequent encounter",pediatric
86,T76.32XS,"Child psychological abuse, suspected, sequela",pediatric
87,T76.52XA,"Child sexual exploitation, suspected, initial encounter",pediatric
88,T76.52XD,"Child sexual exploitation, suspected, subsequent encounter",pediatric
89,T76.52XS,"Child sexual exploitation, suspected, sequela",pediatric
90,T76.62XA,"Child forced labor exploitation, suspected, initial encounter",pediatric
91,T76.62XD,"Child forced labor exploitation, suspected, subsequent encounter",pediatric
92,T76.62XS,"Child forced labor exploitation, suspected, sequela",pediatric
93,T76.92XA,"Unspecified child maltreatment, suspected, initial encounter",pediatric
94,T76.92XD,"Unspecified child maltreatment, suspected, subsequent encounter",pediatric
95,T76.92XS,"Unspecified child maltreatment, suspected, sequela",pediatric
96,Z00.121,Encounter for routine child health examination with abnormal findings,pediatric
97,Z00.129,Encounter for routine child health examination without abnormal findings,pediatric
98,Z00.2,Encounter for examination for period of rapid growth in childhood,pediatric
99,Z00.3,Encounter for examination for adolescent development state,pediatric
0,Z00.70,Encounter for examination for period of delayed growth in childhood without abnormal findings,pediatric
1,Z00.71,Encounter for examination for period of delayed growth in childhood with abnormal findings,pediatric
2,Z04.42,Encounter for examination and observation following alleged child rape,pediatric
3,Z04.72,Encounter for examination and observation following alleged child physical abuse,pediatric
4,Z62.21,Child in welfare custody,pediatric
5,Z62.3,Hostility towards and scapegoating of child,pediatric
6,Z69.010,Encounter for mental health services for victim of parental child abuse,pediatric
7,Z69.020,Encounter for mental health services for victim of non-parental child abuse,pediatric
8,Z72.810,Child and adolescent antisocial behavior,pediatric
9,Z73.810,"Behavioral insomnia of childhood, sleep-onset association type",pediatric
10,Z73.811,"Behavioral insomnia of childhood, limit setting type",pediatric
11,Z73.812,"Behavioral insomnia of childhood, combined type",pediatric
12,Z73.819,"Behavioral insomnia of childhood, unspecified type",pediatric
13,Z76.2,Encounter for health supervision and care of other healthy infant and child,pediatric
0,A18.14,Tuberculosis of prostate,adult
1,C91.50,Adult T-cell lymphoma/leukemia (HTLV-1-associated) not having achieved remission,adult
2,C91.51,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in remission",adult
3,C91.52,"Adult T-cell lymphoma/leukemia (HTLV-1-associated), in relapse",adult
4,E28.310,Symptomatic premature menopause,adult
5,E28.319,Asymptomatic premature menopause,adult
6,F01.50,Vascular dementia without behavioral disturbance,adult
7,F01.51,Vascular dementia with behavioral disturbance,adult
8,F03.90,Unspecified dementia without behavioral disturbance,adult
9,F03.91,Unspecified dementia with behavioral disturbance,adult
10,F69,Unspecified disorder of adult personality and behavior,adult
11,G11.2,Late-onset cerebellar ataxia,adult
12,G12.21,Amyotrophic lateral sclerosis,adult
13,G30.1,Alzheimer's disease with late onset,adult
14,H02.031,Senile entropion of right upper eyelid,adult
15,H02.032,Senile entropion of right lower eyelid,adult
16,H02.033,"Senile entropion of right eye, unspecified eyelid",adult
17,H02.034,Senile entropion of left upper eyelid,adult
18,H02.035,Senile entropion of left lower eyelid,adult
19,H02.036,"Senile entropion of left eye, unspecified eyelid",adult
20,H02.039,"Senile entropion of unspecified eye, unspecified eyelid",adult
21,H02.131,Senile ectropion of right upper eyelid,adult
22,H02.132,Senile ectropion of right lower eyelid,adult
23,H02.133,"Senile ectropion of right eye, unspecified eyelid",adult
24,H02.134,Senile ectropion of left upper eyelid,adult
25,H02.135,Senile ectropion of left lower eyelid,adult
26,H02.136,"Senile ectropion of left eye, unspecified eyelid",adult
27,H02.139,"Senile ectropion of unspecified eye, unspecified eyelid",adult
28,H25.011,"Cortical age-related cataract, right eye",adult
29,H25.012,"Cortical age-related cataract, left eye",adult
30,H25.013,"Cortical age-related cataract, bilateral",adult
31,H25.019,"Cortical age-related cataract, unspecified eye",adult
32,H25.031,"Anterior subcapsular polar age-related cataract, right eye",adult
33,H25.032,"Anterior subcapsular polar age-related cataract, left eye",adult
34,H25.033,"Anterior subcapsular polar age-related cataract, bilateral",adult
35,H25.039,"Anterior subcapsular polar age-related cataract, unspecified eye",adult
36,H25.041,"Posterior subcapsular polar age-related cataract, right eye",adult
37,H25.042,"Posterior subcapsular polar age-related cataract, left eye",adult
38,H25.043,"Posterior subcapsular polar age-related cataract, bilateral",adult
39,H25.049,"Posterior subcapsular polar age-related cataract, unspecified eye",adult
40,H25.091,"Other age-related incipient cataract, right eye",adult
41,H25.092,"Other age-related incipient cataract, left eye",adult
42,H25.093,"Other age-related incipient cataract, bilateral",adult
43,H25.099,"Other age-related incipient cataract, unspecified eye",adult
44,H25.10,"Age-related nuclear cataract, unspecified eye",adult
45,H25.11,"Age-related nuclear cataract, right eye",adult
46,H25.12,"Age-related nuclear cataract, left eye",adult
47,H25.13,"Age-related nuclear cataract, bilateral",adult
48,H25.20,"Age-related cataract, morgagnian type, unspecified eye",adult
49,H25.21,"Age-related cataract, morgagnian type, right eye",adult
50,H25.22,"Age-related cataract, morgagnian type, left eye",adult
51,H25.23,"Age-related cataract, morgagnian type, bilateral",adult
52,H25.811,"Combined forms of age-related cataract, right eye",adult
53,H25.812,"Combined forms of age-related cataract, left eye",adult
54,H25.813,"Combined forms of age-related cataract, bilateral",adult
55,H25.819,"Combined forms of age-related cataract, unspecified eye",adult
56,H25.89,Other age-related cataract,adult
57,H25.9,Unspecified age-related cataract,adult
58,H31.111,"Age-related choroidal atrophy, right eye",adult
59,H31.112,"Age-related choroidal atrophy, left eye",adult
60,H31.113,"Age-related choroidal atrophy, bilateral",adult
61,H31.119,"Age-related choroidal atrophy, unspecified eye",adult
62,H35.30,Unspecified macular degeneration,adult
63,H35.3110,"Nonexudative age-related macular degeneration, right eye, stage unspecified",adult
64,H35.3111,"Nonexudative age-related macular degeneration, right eye, early dry stage",adult
65,H35.3112,"Nonexudative age-related macular degeneration, right eye, intermediate dry stage",adult
66,H35.3113,"Nonexudative age-related macular degeneration, right eye, advanced atrophic without subfoveal involvement",adult
67,H35.3114,"Nonexudative age-related macular degeneration, right eye, advanced atrophic with subfoveal involvement",adult
68,H35.3120,"Nonexudative age-related macular degeneration, left eye, stage unspecified",adult
69,H35.3121,"Nonexudative age-related macular degeneration, left eye, early dry stage",adult
70,H35.3122,"Nonexudative age-related macular degeneration, left eye, intermediate dry stage",adult
71,H35.3123,"Nonexudative age-related macular degeneration, left eye, advanced atrophic without subfoveal involvement",adult
72,H35.3124,"Nonexudative age-related macular degeneration, left eye, advanced atrophic with subfoveal involvement",adult
73,H35.3130,"Nonexudative age-related macular degeneration, bilateral, stage unspecified",adult
74,H35.3131,"Nonexudative age-related macular degeneration, bilateral, early dry stage",adult
75,H35.3132,"Nonexudative age-related macular degeneration, bilateral, intermediate dry stage",adult
76,H35.3133,"Nonexudative age-related macular degeneration, bilateral, advanced atrophic without subfoveal involvement",adult
77,H35.3134,"Nonexudative age-related macular degeneration, bilateral, advanced atrophic with subfoveal involvement",adult
78,H35.3190,"Nonexudative age-related macular degeneration, unspecified eye, stage unspecified",adult
79,H35.3191,"Nonexudative age-related macular degeneration, unspecified eye, early dry stage",adult
80,H35.3192,"Nonexudative age-related macular degeneration, unspecified eye, intermediate dry stage",adult
81,H35.3193,"Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic without subfoveal involvement",adult
82,H35.3194,"Nonexudative age-related macular degeneration, unspecified eye, advanced atrophic with subfoveal involvement",adult
83,H35.3210,"Exudative age-related macular degeneration, right eye, stage unspecified",adult
84,H35.3211,"Exudative age-related macular degeneration, right eye, with active choroidal neovascularization",adult
85,H35.3212,"Exudative age-related macular degeneration, right eye, with inactive choroidal neovascularization",adult
86,H35.3213,"Exudative age-related macular degeneration, right eye, with inactive scar",adult
87,H35.3220,"Exudative age-related macular degeneration, left eye, stage unspecified",adult
88,H35.3221,"Exudative age-related macular degeneration, left eye, with active choroidal neovascularization",adult
89,H35.3222,"Exudative age-related macular degeneration, left eye, with inactive choroidal neovascularization",adult
90,H35.3223,"Exudative age-related macular degeneration, left eye, with inactive scar",adult
91,H35.3230,"Exudative age-related macular degeneration, bilateral, stage unspecified",adult
92,H35.3231,"Exudative age-related macular degeneration, bilateral, with active choroidal neovascularization",adult
93,H35.3232,"Exudative age-related macular degeneration, bilateral, with inactive choroidal neovascularization",adult
94,H35.3233,"Exudative age-related macular degeneration, bilateral, with inactive scar",adult
95,H35.3290,"Exudative age-related macular degeneration, unspecified eye, stage unspecified",adult
96,H35.3291,"Exudative age-related macular degeneration, unspecified eye, with active choroidal neovascularization",adult
97,H35.3292,"Exudative age-related macular degeneration, unspecified eye, with inactive choroidal neovascularization",adult
98,H35.3293,"Exudative age-related macular degeneration, unspecified eye, with inactive scar",adult
99,H35.441,"Age-related reticular degeneration of retina, right eye",adult
0,H35.442,"Age-related reticular degeneration of retina, left eye",adult
1,H35.443,"Age-related reticular degeneration of retina, bilateral",adult
2,H35.449,"Age-related reticular degeneration of retina, unspecified eye",adult
3,H43.821,"Vitreomacular adhesion, right eye",adult
4,H43.822,"Vitreomacular adhesion, left eye",adult
5,H43.823,"Vitreomacular adhesion, bilateral",adult
6,H43.829,"Vitreomacular adhesion, unspecified eye",adult
7,I23.0,Hemopericardium as current complication following acute myocardial infarction,adult
8,I23.1,Atrial septal defect as current complication following acute myocardial infarction,adult
9,I23.2,Ventricular septal defect as current complication following acute myocardial infarction,adult
10,I23.3,Rupture of cardiac wall without hemopericardium as current complication following acute myocardial infarction,adult
11,I23.6,"Thrombosis of atrium, auricular appendage, and ventricle as current complications following acute myocardial infarction",adult
12,I23.7,Postinfarction angina,adult
13,I23.8,Other current complications following acute myocardial infarction,adult
14,I25.10,Atherosclerotic heart disease of native coronary artery without angina pectoris,adult
15,I25.110,Atherosclerotic heart disease of native coronary artery with unstable angina pectoris,adult
16,I25.111,Atherosclerotic heart disease of native coronary artery with angina pectoris with documented spasm,adult
17,I25.118,Atherosclerotic heart disease of native coronary artery with other forms of angina pectoris,adult
18,I25.119,Atherosclerotic heart disease of native coronary artery with unspecified angina pectoris,adult
19,I25.700,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unstable angina pectoris",adult
20,I25.701,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with angina pectoris with documented spasm",adult
21,I25.708,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with other forms of angina pectoris",adult
22,I25.709,"Atherosclerosis of coronary artery bypass graft(s), unspecified, with unspecified angina pectoris",adult
23,I25.710,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unstable angina pectoris,adult
24,I25.711,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm,adult
25,I25.718,Atherosclerosis of autologous vein coronary artery bypass graft(s) with other forms of angina pectoris,adult
26,I25.719,Atherosclerosis of autologous vein coronary artery bypass graft(s) with unspecified angina pectoris,adult
27,I25.720,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unstable angina pectoris,adult
28,I25.721,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm,adult
29,I25.728,Atherosclerosis of autologous artery coronary artery bypass graft(s) with other forms of angina pectoris,adult
30,I25.729,Atherosclerosis of autologous artery coronary artery bypass graft(s) with unspecified angina pectoris,adult
31,I25.730,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unstable angina pectoris,adult
32,I25.731,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with angina pectoris with documented spasm,adult
33,I25.738,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with other forms of angina pectoris,adult
34,I25.739,Atherosclerosis of nonautologous biological coronary artery bypass graft(s) with unspecified angina pectoris,adult
35,I25.760,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unstable angina,adult
36,I25.761,Atherosclerosis of bypass graft of coronary artery of transplanted heart with angina pectoris with documented spasm,adult
37,I25.768,Atherosclerosis of bypass graft of coronary artery of transplanted heart with other forms of angina pectoris,adult
38,I25.769,Atherosclerosis of bypass graft of coronary artery of transplanted heart with unspecified angina pectoris,adult
39,I25.790,Atherosclerosis of other coronary artery bypass graft(s) with unstable angina pectoris,adult
40,I25.791,Atherosclerosis of other coronary artery bypass graft(s) with angina pectoris with documented spasm,adult
41,I25.798,Atherosclerosis of other coronary artery bypass graft(s) with other forms of angina pectoris,adult
42,I25.799,Atherosclerosis of other coronary artery bypass graft(s) with unspecified angina pectoris,adult
43,I25.810,Atherosclerosis of coronary artery bypass graft(s) without angina pectoris,adult
44,I25.812,Atherosclerosis of bypass graft of coronary artery of transplanted heart without angina pectoris,adult
45,I25.83,Coronary atherosclerosis due to lipid rich plaque,adult
46,I51.0,"Cardiac septal defect, acquired",adult
47,I67.2,Cerebral atherosclerosis,adult
48,I70.0,Atherosclerosis of aorta,adult
49,I70.1,Atherosclerosis of renal artery,adult
50,I70.201,"Unspecified atherosclerosis of native arteries of extremities, right leg",adult
51,I70.202,"Unspecified atherosclerosis of native arteries of extremities, left leg",adult
52,I70.203,"Unspecified atherosclerosis of native arteries of extremities, bilateral legs",adult
53,I70.208,"Unspecified atherosclerosis of native arteries of extremities, other extremity",adult
54,I70.209,"Unspecified atherosclerosis of native arteries of extremities, unspecified extremity",adult
55,I70.211,"Atherosclerosis of native arteries of extremities with intermittent claudication, right leg",adult
56,I70.212,"Atherosclerosis of native arteries of extremities with intermittent claudication, left leg",adult
57,I70.213,"Atherosclerosis of native arteries of extremities with intermittent claudication, bilateral legs",adult
58,I70.218,"Atherosclerosis of native arteries of extremities with intermittent claudication, other extremity",adult
59,I70.219,"Atherosclerosis of native arteries of extremities with intermittent claudication, unspecified extremity",adult
60,I70.221,"Atherosclerosis of native arteries of extremities with rest pain, right leg",adult
61,I70.222,"Atherosclerosis of native arteries of extremities with rest pain, left leg",adult
62,I70.223,"Atherosclerosis of native arteries of extremities with rest pain, bilateral legs",adult
63,I70.228,"Atherosclerosis of native arteries of extremities with rest pain, other extremity",adult
64,I70.229,"Atherosclerosis of native arteries of extremities with rest pain, unspecified extremity",adult
65,I70.231,Atherosclerosis of native arteries of right leg with ulceration of thigh,adult
66,I70.232,Atherosclerosis of native arteries of right leg with ulceration of calf,adult
67,I70.233,Atherosclerosis of native arteries of right leg with ulceration of ankle,adult
68,I70.234,Atherosclerosis of native arteries of right leg with ulceration of heel and midfoot,adult
69,I70.235,Atherosclerosis of native arteries of right leg with ulceration of other part of foot,adult
70,I70.238,Atherosclerosis of native arteries of right leg with ulceration of other part of lower leg,adult
71,I70.239,Atherosclerosis of native arteries of right leg with ulceration of unspecified site,adult
72,I70.241,Atherosclerosis of native arteries of left leg with ulceration of thigh,adult
73,I70.242,Atherosclerosis of native arteries of left leg with ulceration of calf,adult
74,I70.243,Atherosclerosis of native arteries of left leg with ulceration of ankle,adult
75,I70.244,Atherosclerosis of native arteries of left leg with ulceration of heel and midfoot,adult
76,I70.245,Atherosclerosis of native arteries of left leg with ulceration of other part of foot,adult
77,I70.248,Atherosclerosis of native arteries of left leg with ulceration of other part of lower leg,adult
78,I70.249,Atherosclerosis of native arteries of left leg with ulceration of unspecified site,adult
79,I70.25,Atherosclerosis of native arteries of other extremities with ulceration,adult
80,I70.261,"Atherosclerosis of native arteries of extremities with gangrene, right leg",adult
81,I70.262,"Atherosclerosis of native arteries of extremities with gangrene, left leg",adult
82,I70.263,"Atherosclerosis of native arteries of extremities with gangrene, bilateral legs",adult
83,I70.268,"Atherosclerosis of native arteries of extremities with gangrene, other extremity",adult
84,I70.269,"Atherosclerosis of native arteries of extremities with gangrene, unspecified extremity",adult
85,I70.291,"Other atherosclerosis of native arteries of extremities, right leg",adult
86,I70.292,"Other atherosclerosis of native arteries of extremities, left leg",adult
87,I70.293,"Other atherosclerosis of native arteries of extremities, bilateral legs",adult
88,I70.298,"Other atherosclerosis of native arteries of extremities, other extremity",adult
89,I70.299,"Other atherosclerosis of native arteries of extremities, unspecified extremity",adult
90,I70.301,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, right leg",adult
91,I70.302,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, left leg",adult
92,I70.303,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, bilateral legs",adult
93,I70.308,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, other extremity",adult
94,I70.309,"Unspecified atherosclerosis of unspecified type of bypass graft(s) of the extremities, unspecified extremity",adult
95,I70.311,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, right leg",adult
96,I70.312,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, left leg",adult
97,I70.313,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, bilateral legs",adult
98,I70.318,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, other extremity",adult
99,I70.319,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with intermittent claudication, unspecified extremity",adult
0,I70.321,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, right leg",adult
1,I70.322,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, left leg",adult
2,I70.323,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, bilateral legs",adult
3,I70.328,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, other extremity",adult
4,I70.329,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with rest pain, unspecified extremity",adult
5,I70.331,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of thigh,adult
6,I70.332,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of calf,adult
7,I70.333,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of ankle,adult
8,I70.334,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of heel and midfoot,adult
9,I70.335,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of foot,adult
10,I70.338,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of other part of lower leg,adult
11,I70.339,Atherosclerosis of unspecified type of bypass graft(s) of the right leg with ulceration of unspecified site,adult
12,I70.341,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of thigh,adult
13,I70.342,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of calf,adult
14,I70.343,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of ankle,adult
15,I70.344,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of heel and midfoot,adult
16,I70.345,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of foot,adult
17,I70.348,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of other part of lower leg,adult
18,I70.349,Atherosclerosis of unspecified type of bypass graft(s) of the left leg with ulceration of unspecified site,adult
19,I70.35,Atherosclerosis of unspecified type of bypass graft(s) of other extremity with ulceration,adult
20,I70.361,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, right leg",adult
21,I70.362,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, left leg",adult
22,I70.363,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, bilateral legs",adult
23,I70.368,"Atherosclerosis of unspecified type of bypass graft(s) of the extremities with gangrene, other extremity",adult
