code,title,category,window,chapter
R30.1,Vesical tenesmus,Pain associated with micturition,Symptoms and signs involving the urinary system,XVIII
R30.9,"Painful micturition, unspecified",Pain associated with micturition,Symptoms and signs involving the urinary system,XVIII
R31,Unspecified haematuria,Unspecified haematuria,Symptoms and signs involving the urinary system,XVIII
R32,Unspecified urinary incontinence,Unspecified urinary incontinence,Symptoms and signs involving the urinary system,XVIII
R33,Retention of urine,Retention of urine,Symptoms and signs involving the urinary system,XVIII
R34,Anuria and oliguria,Anuria and oliguria,Symptoms and signs involving the urinary system,XVIII
R35,Polyuria,Polyuria,Symptoms and signs involving the urinary system,XVIII
R36,Urethral discharge,Urethral discharge,Symptoms and signs involving the urinary system,XVIII
R39,Other symptoms and signs involving the urinary system,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system,XVIII
R39.0,Extravasation of urine,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system,XVIII
R39.1,Other difficulties with micturition,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system,XVIII
R39.2,Extrarenal uraemia,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system,XVIII
R39.8,Other and unspecified symptoms and signs involving the urinary system,Other symptoms and signs involving the urinary system,Symptoms and signs involving the urinary system,XVIII
R40,"Somnolence, stupor and coma","Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R40.0,Somnolence,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R40.1,Stupor,"Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R40.2,"Coma, unspecified","Somnolence, stupor and coma","Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R41,Other symptoms and signs involving cognitive functions and awareness,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R41.0,"Disorientation, unspecified",Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R41.1,Anterograde amnesia,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R41.2,Retrograde amnesia,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R41.3,Other amnesia,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R41.8,Other and unspecified symptoms and signs involving cognitive functions and awareness,Other symptoms and signs involving cognitive functions and awareness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R42,Dizziness and giddiness,Dizziness and giddiness,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R43,Disturbances of smell and taste,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R43.0,Anosmia,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R43.1,Parosmia,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R43.2,Parageusia,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R43.8,Other and unspecified disturbances of smell and taste,Disturbances of smell and taste,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R44,Other symptoms and signs involving general sensations and perceptions,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R44.0,Auditory hallucinations,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R44.1,Visual hallucinations,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R44.2,Other hallucinations,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R44.3,"Hallucinations, unspecified",Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R44.8,Other and unspecified symptoms and signs involving general sensations and perceptions,Other symptoms and signs involving general sensations and perceptions,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45,Symptoms and signs involving emotional state,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.0,Nervousness,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.1,Restlessness and agitation,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.2,Unhappiness,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.3,Demoralization and apathy,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.4,Irritability and anger,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.5,Hostility,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.6,Physical violence,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.7,"State of emotional shock and stress, unspecified",Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R45.8,Other symptoms and signs involving emotional state,Symptoms and signs involving emotional state,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46,Symptoms and signs involving appearance and behaviour,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.0,Very low level of personal hygiene,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.1,Bizarre personal appearance,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.2,Strange and inexplicable behaviour,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.3,Overactivity,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.4,Slowness and poor responsiveness,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.5,Suspiciousness and marked evasiveness,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.6,Undue concern and preoccupation with stressful events,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.7,Verbosity and circumstantial detail obscuring reason for contact,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R46.8,Other symptoms and signs involving appearance and behaviour,Symptoms and signs involving appearance and behaviour,"Symptoms and signs involving cognition, perception, emotional state and behaviour",XVIII
R47,"Speech disturbances, not elsewhere classified","Speech disturbances, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R47.0,Dysphasia and aphasia,"Speech disturbances, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R47.1,Dysarthria and anarthria,"Speech disturbances, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R47.8,Other and unspecified speech disturbances,"Speech disturbances, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R48,"Dyslexia and other symbolic dysfunctions, not elsewhere classified","Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R48.0,Dyslexia and alexia,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R48.1,Agnosia,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R48.2,Apraxia,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R48.8,Other and unspecified symbolic dysfunctions,"Dyslexia and other symbolic dysfunctions, not elsewhere classified",Symptoms and signs involving speech and voice,XVIII
R49,Voice disturbances,Voice disturbances,Symptoms and signs involving speech and voice,XVIII
R49.0,Dysphonia,Voice disturbances,Symptoms and signs involving speech and voice,XVIII
R49.1,Aphonia,Voice disturbances,Symptoms and signs involving speech and voice,XVIII
R49.2,Hypernasality and hyponasality,Voice disturbances,Symptoms and signs involving speech and voice,XVIII
R49.8,Other and unspecified voice disturbances,Voice disturbances,Symptoms and signs involving speech and voice,XVIII
R50,Fever of other and unknown origin,Fever of other and unknown origin,General symptoms and signs,XVIII
R50.2,Drug-induced fever,Fever of other and unknown origin,General symptoms and signs,XVIII
R50.8,Other specified fever,Fever of other and unknown origin,General symptoms and signs,XVIII
R50.9,"Fever, unspecified",Fever of other and unknown origin,General symptoms and signs,XVIII
R51,Headache,Headache,General symptoms and signs,XVIII
R52,"Pain, not elsewhere classified","Pain, not elsewhere classified",General symptoms and signs,XVIII
R52.0,Acute pain,"Pain, not elsewhere classified",General symptoms and signs,XVIII
R52.1,Chronic intractable pain,"Pain, not elsewhere classified",General symptoms and signs,XVIII
R52.2,Other chronic pain,"Pain, not elsewhere classified",General symptoms and signs,XVIII
R52.9,"Pain, unspecified","Pain, not elsewhere classified",General symptoms and signs,XVIII
R53,Malaise and fatigue,Malaise and fatigue,General symptoms and signs,XVIII
R54,Senility,Senility,General symptoms and signs,XVIII
R55,Syncope and collapse,Syncope and collapse,General symptoms and signs,XVIII
R56,"Convulsions, not elsewhere classified","Convulsions, not elsewhere classified",General symptoms and signs,XVIII
R56.0,Febrile convulsions,"Convulsions, not elsewhere classified",General symptoms and signs,XVIII
R56.8,Other and unspecified convulsions,"Convulsions, not elsewhere classified",General symptoms and signs,XVIII
R57,"Shock, not elsewhere classified","Shock, not elsewhere classified",General symptoms and signs,XVIII
R57.0,Cardiogenic shock,"Shock, not elsewhere classified",General symptoms and signs,XVIII
R57.1,Hypovolaemic shock,"Shock, not elsewhere classified",General symptoms and signs,XVIII
R57.2,Septic shock,"Shock, not elsewhere classified",General symptoms and signs,XVIII
R57.8,Other shock,"Shock, not elsewhere classified",General symptoms and signs,XVIII
R57.9,"Shock, unspecified","Shock, not elsewhere classified",General symptoms and signs,XVIII
R58,"Haemorrhage, not elsewhere classified","Haemorrhage, not elsewhere classified",General symptoms and signs,XVIII
R59,Enlarged lymph nodes,Enlarged lymph nodes,General symptoms and signs,XVIII
R59.0,Localized enlarged lymph nodes,Enlarged lymph nodes,General symptoms and signs,XVIII
R59.1,Generalized enlarged lymph nodes,Enlarged lymph nodes,General symptoms and signs,XVIII
R59.9,"Enlarged lymph nodes, unspecified",Enlarged lymph nodes,General symptoms and signs,XVIII
R60,"Oedema, not elsewhere classified","Oedema, not elsewhere classified",General symptoms and signs,XVIII
R60.0,Localized oedema,"Oedema, not elsewhere classified",General symptoms and signs,XVIII
R60.1,Generalized oedema,"Oedema, not elsewhere classified",General symptoms and signs,XVIII
R60.9,"Oedema, unspecified","Oedema, not elsewhere classified",General symptoms and signs,XVIII
R61,Hyperhidrosis,Hyperhidrosis,General symptoms and signs,XVIII
R61.0,Localized hyperhidrosis,Hyperhidrosis,General symptoms and signs,XVIII
R61.1,Generalized hyperhidrosis,Hyperhidrosis,General symptoms and signs,XVIII
R61.9,"Hyperhidrosis, unspecified",Hyperhidrosis,General symptoms and signs,XVIII
R62,Lack of expected normal physiological development,Lack of expected normal physiological development,General symptoms and signs,XVIII
R62.0,Delayed milestone,Lack of expected normal physiological development,General symptoms and signs,XVIII
R62.8,Other lack of expected normal physiological development,Lack of expected normal physiological development,General symptoms and signs,XVIII
R62.9,"Lack of expected normal physiological development, unspecified",Lack of expected normal physiological development,General symptoms and signs,XVIII
R63,Symptoms and signs concerning food and fluid intake,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.0,Anorexia,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.1,Polydipsia,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.2,Polyphagia,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.3,Feeding difficulties and mismanagement,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.4,Abnormal weight loss,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.5,Abnormal weight gain,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.6,Insufficient intake of food and water due to self neglect,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R63.8,Other symptoms and signs concerning food and fluid intake,Symptoms and signs concerning food and fluid intake,General symptoms and signs,XVIII
R64,Cachexia,Cachexia,General symptoms and signs,XVIII
R65,Systemic Inflammatory Response Syndrome [SIRS],Systemic Inflammatory Response Syndrome [SIRS],General symptoms and signs,XVIII
R65.0,Systemic Inflammatory Response Syndrome of infectious origin without organ failure,Systemic Inflammatory Response Syndrome [SIRS],General symptoms and signs,XVIII
R65.1,Systemic Inflammatory Response Syndrome of infectious origin with organ failure,Systemic Inflammatory Response Syndrome [SIRS],General symptoms and signs,XVIII
R65.2,Systemic Inflammatory Response Syndrome of non-infectious origin without organ failure,Systemic Inflammatory Response Syndrome [SIRS],General symptoms and signs,XVIII
R65.3,Systemic Inflammatory Response Syndrome of non-infectious origin with organ failure,Systemic Inflammatory Response Syndrome [SIRS],General symptoms and signs,XVIII
R65.9,"Systemic Inflammatory Response Syndrome, unspecified",Systemic Inflammatory Response Syndrome [SIRS],General symptoms and signs,XVIII
R68,Other general symptoms and signs,Other general symptoms and signs,General symptoms and signs,XVIII
R68.0,"Hypothermia, not associated with low environmental temperature",Other general symptoms and signs,General symptoms and signs,XVIII
R68.1,Nonspecific symptoms peculiar to infancy,Other general symptoms and signs,General symptoms and signs,XVIII
R68.2,"Dry mouth, unspecified",Other general symptoms and signs,General symptoms and signs,XVIII
